Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Dominick Reyes ,win, Renato Gudino, 1, 1:22, U of MMA - Fight Night 4,Dec ,8.0,2013.0, SubmissionN/A,,
Glover Teixeir,win, Ion Cutelaba,2, 3:37, UFC Fight Night 150 - Jacare vs. Hermansson,Apr ,27.0,2019.0, Submission ,Rear-Naked Choke,Alan Abeles
Glover Teixeir,win, Karl Roberson,1, 3:21, UFC Fight Night 143 - Cejudo vs. Dillashaw,Jan ,19.0,2019.0, Submission ,Arm-Triangle Choke,Dan Miragliotta
Glover Teixeir,loss, Corey Anderson,3, 5:00, UFC Fight Night 134 - Shogun vs. Smith,Jul ,22.0,2018.0, Decision ,Unanimous,Leon Roberts
Glover Teixeir,win, Misha Cirkunov,1, 2:45, UFC on Fox 26 - Lawler vs. dos Anjos,Dec ,16.0,2017.0, TKO ,Punches,Dan Miragliotta
Glover Teixeir,loss, Alexander Gustafsson,5, 1:07, UFC Fight Night 109 - Gustafsson vs. Teixeira ,May ,28.0,2017.0, KO ,Punches,Marc Goddard
Glover Teixeir,win, Jared Cannonier,3, 5:00, UFC 208 - Holm vs. De Randamie,Feb ,11.0,2017.0, Decision ,Unanimous,Kevin MacDonald
Glover Teixeir,loss, Anthony Johnson,1, 0:13, UFC 202 - Diaz vs. McGregor 2,Aug ,20.0,2016.0, KO ,Punch,Dan Miragliotta
Glover Teixeir,win, Rashad Evans,1, 1:48, UFC on Fox 19 - Teixeira vs. Evans,Apr ,16.0,2016.0, KO ,Punches,Herb Dean
Glover Teixeir,win, Patrick Cummins,2, 1:12, UFC Fight Night 77 - Belfort vs. Henderson 3,Nov ,7.0,2015.0, TKO ,Punches,Herb Dean
Glover Teixeir,win, Ovince St. Preux,3, 3:10, UFC Fight Night 73 - Teixeira vs. St. Preux,Aug ,8.0,2015.0, Technical Submission ,Rear-Naked Choke,John McCarthy
Glover Teixeir,loss, Phil Davis,3, 5:00, UFC 179 - Aldo vs. Mendes 2,Oct ,25.0,2014.0, Decision ,Unanimous,Mario Yamasaki
Glover Teixeir,loss, Jon Jones,5, 5:00, UFC 172 - Jones vs. Teixeira,Apr ,26.0,2014.0, Decision ,Unanimous,Dan Miragliotta
Glover Teixeir,win, Ryan Bader,1, 2:55, UFC Fight Night 28 - Teixeira vs. Bader,Sep ,4.0,2013.0, TKO ,Punches,Herb Dean
Glover Teixeir,win, James Te Huna,1, 2:38, UFC 160 - Velasquez vs. Bigfoot 2,May ,25.0,2013.0, Submission ,Guillotine Choke,Herb Dean
